id,username,category,profilePicUrl,followers,reelsCount30d,avgViews30d,lastScrapedAt
1a2b3c4d-0001-0001-0001-000000000001,pablofarias.oficial,orlando-real-estate,,,,,
1a2b3c4d-0002-0002-0002-000000000002,simplymarkanthony,orlando-real-estate,,,,,
1a2b3c4d-0003-0003-0003-000000000003,orlando_realestate,orlando-real-estate,,,,,
1a2b3c4d-0004-0004-0004-000000000004,umbertorealtor,orlando-real-estate,,,,,
1a2b3c4d-0005-0005-0005-000000000005,_k.elsie,orlando-real-estate,,,,,
2a2b3c4d-0001-0001-0001-000000000001,ryanserhant,global-real-estate-viral,,,,,
2a2b3c4d-0002-0002-0002-000000000002,marianalimabroker,global-real-estate-viral,,,,,
2a2b3c4d-0003-0003-0003-000000000003,luizgandara,global-real-estate-viral,,,,,
2a2b3c4d-0004-0004-0004-000000000004,danyarellorealtor,global-real-estate-viral,,,,,
2a2b3c4d-0005-0005-0005-000000000005,luizgandara.realtor,global-real-estate-viral,,,,,
2a2b3c4d-0006-0006-0006-000000000006,marcel.remus,global-real-estate-viral,,,,,
3a2b3c4d-0001-0001-0001-000000000001,advfernandasiqueira,lais-insurance-niche,,,,,
3a2b3c4d-0002-0002-0002-000000000002,sheilashimada,lais-insurance-niche,,,,,
3a2b3c4d-0003-0003-0003-000000000003,ktfinnykrispy,lais-insurance-niche,,,,,
3a2b3c4d-0004-0004-0004-000000000004,ndmendezlaw,lais-insurance-niche,,,,,
3a2b3c4d-0005-0005-0005-000000000005,dfolloni,lais-viral-formats,,,,,
